id,city,name,lat,lon,date,pm10,pm25,no2,so2,co
810,Godów,"Godów, ul. Gliniki",49.921875,18.471278,2026-03-31,0.0,0.0,0.0,0.0,0.0
814,Katowice,"Katowice, ul. Kossutha",50.264611,18.975028,2026-03-31,15.5,12.4,14.4,3.5,0.0
818,Knurów,"Knurów, ul. Jedności Narodowej",50.233167,18.655722,2026-03-31,0.0,0.0,0.0,0.0,0.0
825,Myszków,"Myszków, ul. Miedziana",50.579733,19.3267,2026-03-31,0.0,0.0,0.0,0.0,0.0
834,Rybnik,"Rybnik, ul. Borki",50.111181,18.516139,2026-03-31,12.0,0.0,10.6,1.7,0.23
837,Sosnowiec,"Sosnowiec, ul. Lubelska",50.285956,19.184399,2026-03-31,21.3,0.0,17.8,0.0,0.0
839,Tarnowskie Góry,"Tarnowskie Góry, ul. Litewska",50.444736,18.829639,2026-03-31,0.0,0.0,0.0,0.0,0.0
841,Tychy,"Tychy, ul. Tołstoja",50.099903,18.990236,2026-03-31,12.5,0.0,0.0,2.4,0.0
842,Ustroń,"Ustroń, ul. Sanatoryjna",49.719731,18.826722,2026-03-31,19.1,0.0,28.9,0.5,0.0
845,Wodzisław Śląski,"Wodzisław Śląski, ul. Gałczyńskiego",50.007629,18.455548,2026-03-31,15.6,12.9,5.9,0.4,0.18
853,Złoty Potok,"Złoty Potok, Leśniczówka",50.710889,19.458797,2026-03-31,8.2,7.3,3.2,4.2,0.0
856,Żywiec,"Żywiec, ul. Kopernika",49.671602,19.234446,2026-03-31,33.4,28.2,41.5,11.1,0.0
861,Elbląg,"Elbląg, ul. Bażyńskiego",54.167847,19.410942,2026-03-31,9.8,4.6,5.1,4.9,0.17
870,Gołdap,"Gołdap, ul. Jaćwieska",54.305908,22.307681,2026-03-31,23.2,0.0,0.0,0.0,0.0
875,Nidzica,"Nidzica, ul.Traugutta",53.361112,20.422046,2026-03-31,0.0,0.0,0.0,0.0,0.0
877,Olsztyn,"Olsztyn, ul. Puszkina",53.789233,20.486075,2026-03-31,0.0,0.0,2.2,0.0,0.15
882,Diabla Góra,"Diabla Góra, Puszcza Borecka",54.124819,22.038056,2026-03-31,0.0,0.0,0.0,0.0,0.0
890,Gniezno,"Gniezno, ul. Paczkowskiego",52.539283,17.612239,2026-03-31,0.0,0.0,0.0,0.0,0.0
902,Konin,"Konin, ul. Wyszyńskiego",52.22565,18.268927,2026-03-31,12.3,7.2,10.1,0.0,0.0
912,Nowy Tomyśl,"Nowy Tomyśl, ul. Sienkiewicza",52.316748,16.142154,2026-03-31,0.0,0.0,0.0,0.0,0.0
920,Piła,"Pila, ul. Kusocińskiego",53.154408,16.759572,2026-03-31,22.9,0.0,5.9,1.3,0.0
931,Poznań,"Poznań, ul. Spychalskiego",52.392866,16.928442,2026-03-31,0.0,0.0,0.0,0.0,0.0
932,Poznań,"Poznań, ul. Szymanowskiego",52.459192,16.9062,2026-03-31,0.0,0.0,0.0,0.0,0.0
942,Wągrowiec,"Wągrowiec, ul. Lipowa",52.815262,17.208381,2026-03-31,0.0,0.0,0.0,0.0,0.0
944,Poznań,"Poznań, ul. Dąbrowskiego",52.420319,16.877289,2026-03-31,14.6,9.5,0.0,0.0,0.0
946,Krzyżówka,"Piaski, Krzyżówka",52.501318,17.773175,2026-03-31,0.0,0.0,5.4,1.5,0.0
950,Borówiec,"Borówiec, ul. Drapałka",52.27672,17.074187,2026-03-31,19.4,0.0,3.4,0.0,0.0
952,Kalisz,"Kalisz, ul. Wyszyńskiego",51.74795,18.049063,2026-03-31,13.7,10.6,5.6,2.8,0.0
961,Widuchowa,Widuchowa,53.122325,14.382245,2026-03-31,0.0,0.0,1.3,2.6,0.0
966,Koszalin,"Koszalin, Al. Armii Krajowej",54.193986,16.172544,2026-03-31,39.4,0.0,41.7,0.0,0.0
967,Koszalin,"Koszalin, ul. Spasowskiego",54.207151,16.193236,2026-03-31,0.0,0.0,0.0,0.0,0.0
973,Myślibórz,"Myślibórz, ul. Za Bramką",52.926283,14.862809,2026-03-31,0.0,0.0,0.0,0.0,0.0
981,Szczecinek,"Szczecinek, ul. 1 Maja",53.712114,16.692517,2026-03-31,0.0,0.0,0.0,0.0,0.0
983,Szczecinek,"Szczecinek, ul. Przemysłowa",53.698902,16.704556,2026-03-31,23.6,0.0,6.3,1.6,0.3
986,Szczecin,"Szczecin, ul. Andrzejewskiego",53.380975,14.663347,2026-03-31,21.8,11.6,6.0,0.0,0.0
987,Szczecin,"Szczecin, ul. Piłsudskiego",53.432169,14.5539,2026-03-31,17.8,10.3,11.2,2.4,0.24
989,Szczecin,"Szczecin, ul. Łączna",53.470889,14.55625,2026-03-31,0.0,0.0,0.0,0.9,0.0
8873,Jelenia Góra,"Jelenia Góra, ul. Sokoliki",50.871214,15.700947,2026-03-31,0.0,0.0,0.0,0.0,0.0
8953,Iława,"Iława, ul.Andersa",53.587873,19.564908,2026-03-31,0.0,0.0,0.0,0.0,0.0
9000,Czerwionka-Leszczyny,"Czerwionka-Leszczyny, ul. Kopalniana",50.16385,18.659977,2026-03-31,0.0,0.0,0.0,0.0,0.0
9114,Ostrołęka,"Ostrołęka, ul. Hallera",53.083736,21.579322,2026-03-31,9.7,4.0,0.0,0.0,0.0
9153,Jelenia Góra,"Jelenia Góra, ul. Ogińskiego",50.913433,15.765608,2026-03-31,11.6,9.2,5.4,5.9,0.14
9173,Dębica,"Dębica, ul.Grottgera",50.054786,21.416256,2026-03-31,16.1,13.1,0.0,0.0,0.0
9175,Krempna,"Krempna, Ośrodek edukacyjno-muzealny MPN",49.511297,21.498606,2026-03-31,0.0,0.0,7.1,1.4,0.0
9177,Głogów,"Głogów, ul. Wita Stwosza",51.657022,16.097822,2026-03-31,0.0,0.0,0.0,0.0,0.0
9179,Szarów,"Szarów, ul. Spokojna",50.0075,20.259167,2026-03-31,0.0,0.0,9.5,0.0,0.0
9203,Brodnica,"Brodnica, ul. Kochanowskiego",53.249264,19.415086,2026-03-31,0.0,0.0,0.0,0.0,0.0
9218,Pleszew,"Pleszew, Al. Mickiewicza",51.884922,17.791106,2026-03-31,11.0,5.6,0.0,0.0,0.0
9236,Skierniewice,"Skierniewice, ul. Konopnickiej",51.954297,20.149461,2026-03-31,0.0,0.0,0.0,0.0,0.0
9791,Włocławek,"Włocławek, ul. Kaliska",52.637394,19.044486,2026-03-31,9.1,0.0,3.9,3.2,0.0
9798,Nakło nad Notecią,"Nakło nad Notecią, ul. Św. Wawrzyńca",53.136681,17.591539,2026-03-31,8.5,5.1,7.4,4.2,0.0
9913,Guty Duże,Guty Duże,52.943172,21.288167,2026-03-31,7.3,4.5,0.4,1.5,0.0
9973,Kielce,"Kielce, ul. Warszawska 210",50.894374,20.657988,2026-03-31,0.0,0.0,0.0,0.0,0.0
10005,Ełk,"Ełk, ul. Piłsudskiego",53.828389,22.348338,2026-03-31,14.9,6.5,4.0,9.3,0.0
10018,Głubczyce,"Głubczyce, ul. Ratuszowa",50.200778,17.83051,2026-03-31,0.0,0.0,0.0,0.0,0.0
10030,Ostróda,"Ostróda, ul. Piłsudskiego",53.694587,19.969041,2026-03-31,17.1,0.0,5.9,0.0,0.22
10058,Łódź,"Łódź, Al. Jana Pawła II",51.754613,19.434925,2026-03-31,20.0,0.0,17.0,0.0,0.34
10059,Uniejów,"Uniejów, ul. Zamkowa",51.971711,18.790289,2026-03-31,0.0,0.0,0.0,0.0,0.0
10060,Bełchatów,"Bełchatów, ul. Edwardów",51.356689,19.365903,2026-03-31,0.0,0.0,0.0,0.0,0.0
10093,Duszniki-Zdrój,"Duszniki-Zdrój, ul. Sportowa",50.402561,16.393311,2026-03-31,10.4,8.5,0.0,0.0,0.0
10115,Mielec,"Mielec, ul. Pogodna",50.318036,21.486372,2026-03-31,0.0,0.0,0.0,0.0,0.0
10119,Kaszów,Kaszów,50.025028,19.726833,2026-03-31,0.0,0.0,7.4,0.0,0.0
10120,Tarnów,"Tarnów, ul. Ks. Romana Sitko",50.018253,20.992578,2026-03-31,16.3,13.1,20.6,0.0,0.45
10122,Iwonicz-Zdrój,"Iwonicz Zdrój, ul. Rąba",49.565183,21.791308,2026-03-31,0.0,0.0,0.0,0.0,0.0
10123,Kraków,"Kraków, ul. Złoty Róg",50.081197,19.895358,2026-03-31,19.2,0.0,0.0,0.0,0.0
10124,Sucha Beskidzka,"Sucha Beskidzka, ul. Nieszczyńskiej",49.743131,19.600339,2026-03-31,31.8,25.1,0.0,0.0,0.0
10125,Rzeszów,"Rzeszów, Al. Piłsudskiego",50.040675,22.004656,2026-03-31,19.1,14.2,39.9,0.0,0.37
10126,Stalowa Wola,"Stalowa Wola, ul. Wojska Polskiego",50.577828,22.054336,2026-03-31,0.0,0.0,0.0,0.0,0.0
10139,Kraków,"Kraków, Os. Piastów",50.098508,20.018269,2026-03-31,19.4,0.0,0.0,0.0,0.0
10140,Sieradz,"Sieradz, ul. Polna",51.592058,18.734811,2026-03-31,0.0,0.0,0.0,0.0,0.0
10141,Świdnica,"Świdnica, ul. Folwarczna",50.84443,16.494006,2026-03-31,0.0,0.0,0.0,0.0,0.0
10148,Poznań,"Poznan, ul. Hetmańska",52.384293,16.918156,2026-03-31,20.4,10.6,30.9,0.0,0.11
